AccelerometerX,AccelerometerY,AccelerometerZ
-4.23583680561068,-28.1080575296316,0.168026796043665
-4.23559365638219,-28.1038002122499,0.167695636742399
-4.23172811885163,-28.0946350546048,0.167897388586687
-4.23415296480198,-28.0980064590871,0.167812011158561
-4.2333834286455,-28.0962092515085,0.167949524328226
-4.23492845320785,-28.0998633732497,0.167836435990242
-4.23448854251385,-28.1000047318792,0.167822580535313
-4.23460950201203,-28.1062225609303,0.167664639754363
-4.2341470125526,-28.0979467525031,0.167650073157215
-4.23415296480198,-28.0980064590871,0.167812011158561
-4.23403672732107,-28.1000266773406,0.167484849077692
-4.23502683394061,-28.0976640352441,0.167677784067074
-4.23404267957045,-28.1000863839246,0.167646787079038
-4.23481816797632,-28.1019432980872,0.167671211910718
-4.23470788274479,-28.1040232229247,0.167505987831195
-4.23448259026446,-28.0999450252951,0.167660642533967
-4.23425134553474,-28.0958071210815,0.167653359235393
-4.23581894886252,-28.1078784098794,0.167540982039627
-4.23515374568818,-28.1039415708793,0.16768178128747
-4.23425134553474,-28.0958071210815,0.167653359235393
-4.23483602472448,-28.1021224178394,0.168157025914756
-4.23259603574086,-28.0942329241778,0.167601223493854
-4.23250360725749,-28.0964919687674,0.167921813418368
-4.23493440545724,-28.0999230798338,0.167998373991588
-4.23558298211553,-28.0955024583612,0.168018801602873
-4.23548932340004,-28.1059398436714,0.167692350664221
-4.23539094266728,-28.108139181677,0.16785100258739
-4.23591260757801,-28.0974410245693,0.167867432978278
-4.32314957498075,-28.0721705632846,0.183393345783851
-4.45304506993777,-28.1427082463077,0.139444635384915
-4.61356024039577,-28.27033296455,0.144985482891625
-3.99799405562267,-28.2920715583033,0.227338654253529
-3.76390207298315,-29.4314993506426,0.249242524157648
-3.77749620190863,-30.3031209848574,0.293505079037075
-3.97350064129047,-30.2772467815967,0.297575690330566
-4.06263341675634,-29.5852279326085,0.339203148783118
-4.10699613004262,-27.351475583164,0.418887655594611
-4.66782312831418,-26.2095714481622,0.377836056060362
-4.36384808294529,-23.1765080027523,0.221716059678037
-4.19363804305683,-22.1690490593768,0.275394056597161
-4.80118083667409,-26.6620663718434,0.515803986263689
-4.14577657508592,-28.2480191670211,0.495323082884324
-3.70316678234576,-30.5406405479067,0.481544367500172
-3.64946627888155,-30.195747022578,0.275562095029053
-3.26226415264169,-27.8907544792237,0.30477488787492
-3.66937862404578,-28.781755974979,0.384885610943749
-4.39774057177747,-29.2098388459113,0.465247582498675
-5.12032986054541,-27.7102393417579,0.439481141577877
-4.59495913518875,-24.5563985388993,0.253581228334156
-4.18998706243678,-22.1337942192685,0.185184020470773
